source_ko	title_en
지주회사의자회사편입	Incorporation as a Subsidiary of a Holding Company
유가증권-채권	Securities — Bonds
주식매수선택권부여취소	Cancellation of Stock Option Grant
특수관계인에대한채권매도	Sale of Bonds to a Related Party
특수관계인으로부터부동산임차	Lease of Real Estate from a Related Party
감사ㆍ감사위원회위원중도퇴임	Early Resignation of an Auditor or Audit Committee Member
전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정	Adjustment of Conversion Price, Warrant Exercise Price, or Exchange Price
단일판매계약체결	Single Sales Contract
최대주주등으로부터유가증권매수	Purchase of Securities from the Largest Shareholder or Related Parties
공정공시	Fair Disclosure
특수관계인으로부터주식의취득	Acquisition of Shares from a Related Party
보험가입	Insurance Enrollment
사업목적변경	Change in Business Purpose
최대주주등과의부동산임대	Real Estate Lease with the Largest Shareholder or Related Parties
최대주주등에대한유가증권매도	Sale of Securities to the Largest Shareholder or Related Parties
특수관계인에대한주식의처분	Disposal of Shares to a Related Party
상각형조건부자본증권발행결정	Decision to Issue Write-Down Contingent Capital Securities
증여결정	Donation Decision
자기주식처분신고서	Treasury Share Disposal Report
선급금지급결정	Decision to Pay an Advance
자기주식취득결정	Decision to Acquire Treasury Shares
단기차입금증가결정	Decision to Increase Short-Term Borrowings
지주회사의자회사탈퇴	Removal from Subsidiaries of a Holding Company
주식예탁증서(DR)원주청구권행사	Exercise of Rights to Claim Underlying Shares for Depositary Receipts
보험	Insurance
소송등의판결ㆍ결정	Judgment or Decision in Litigation
지배회사의주요종속회사편입	Incorporation as a Major Subsidiary of the Parent Company
최근사업연도대비매출액의100분의10이상(대규모법인의경우100분의5이상)증가사실	Revenue Increase of at Least 10% from the Latest Fiscal Year (5% for Large Companies)
기업가치제고계획	Corporate Value Enhancement Plan
매출액또는손익구조30%(대규모법인은15%)이상변동	Change of 30% or More in Revenue or Profit/Loss Structure (15% for Large Companies)
자기주식취득신탁계약등해지결정	Decision to Terminate a Treasury Share Acquisition Trust Agreement
생산재개	Resumption of Production
임원의변동	Change of Officers
유상증자신주발행가액	Issue Price of New Shares in a Capital Increase with Consideration
최대주주등소유주식변동신고서(최대주주변경시)	Report on Changes in Shareholdings of the Largest Shareholder and Related Parties (Upon Change of Largest Shareholder)
최대주주변경	Change of Largest Shareholder
특수관계인과의예ㆍ적금거래	Deposit and Savings Transaction with a Related Party
대표이사변경	Change of Chief Executive Officer
특수관계인과의채권매도	Sale of Bonds to a Related Party
계열회사의제외	Removal of an Affiliate
매매거래정지및정지해제	Trading Suspension and Resumption
추가상장	Additional Listing
특수관계인과의예ㆍ적금	Deposits and Savings with a Related Party
외부감사인선임	Appointment of External Auditor
기타경영사항(특허권취득)	Other Management Matter (Patent Acquisition)
기타공정공시의무관련사항	Other Matters Related to Fair Disclosure Obligations
매출액또는손익30%(대규모법인은15%)이상변경	Change of 30% or More in Revenue or Profit/Loss (15% for Large Companies)
소송등의제기ㆍ신청	Filing or Application of Litigation
유상증자또는주식관련사채등의청약결과	Subscription Results for a Capital Increase or Share-Related Bonds
자기주식취득신고서	Treasury Share Acquisition Report
회사합병결정	Decision on Company Merger
신주인수권행사가액의조정	Adjustment of Warrant Exercise Price
신탁계약등해지신고서	Report on Termination of a Trust Agreement
일반채권의해외발행결정	Decision to Issue Straight Bonds Overseas
감사위원회위원해임	Dismissal of an Audit Committee Member
임상시험단계진입ㆍ종료	Entry into or Completion of a Clinical Trial Phase
특수관계인에대한자산양도	Transfer of Assets to a Related Party
장단기대여	Short- and Long-Term Loans
증권발행실적보고서(합병등)	Securities Issuance Results Report (Merger or Similar Transaction)
자회사의편입또는탈퇴	Incorporation or Removal of a Subsidiary
결산실적공시예고	Advance Notice of Financial Results Disclosure
경영참고사항	Management Reference Information
변경상장	Listing Change
특수관계인으로부터부동산매수	Purchase of Real Estate from a Related Party
특수관계인의유상증자참여	Participation of a Related Party in a Capital Increase with Consideration
해외증권거래소등에신고한주요공시사항의국내신고	Domestic Filing of Material Disclosures Filed with an Overseas Securities Exchange
유상증자또는주식관련사채등의발행결과	Issuance Results for a Capital Increase or Share-Related Bonds
최대주주등과의부동산임차	Lease of Real Estate with the Largest Shareholder or Related Parties
금전대여결정	Decision to Lend Funds
공급계약체결	Supply Contract
주요사항보고서(전환사채권발행결정)	Material Event Report (Decision to Issue Convertible Bonds)
최근사업연도대비경상이익의100분의30이상(대규모법인의경우100분의15이상)증가사실	Ordinary Income Increase of at Least 30% from the Latest Fiscal Year (15% for Large Companies)
최근사업연도대비당기순이익의100분의30이상(대규모법인의경우100분의15이상)증가사실	Net Income Increase of at Least 30% from the Latest Fiscal Year (15% for Large Companies)
단기차입금증가ㆍ감소결정	Decision to Increase or Decrease Short-Term Borrowings
특수관계인에대한담보제공	Provision of Collateral to a Related Party
합병등종료보고서	Completion Report for Merger or Similar Transaction
최대주주등과의물품ㆍ서비스거래	Goods or Services Transactions with the Largest Shareholder or Related Parties
가족친화인증ㆍ유효기간연장ㆍ인증취소	Family-Friendly Certification, Extension of Validity, or Revocation of Certification
감자결정	Decision on Capital Reduction
감자완료	Completion of Capital Reduction
거래처와의거래중단	Suspension of Transactions with a Customer
결합감사보고서	Combined Audit Report
경영정상화계획의이행약정체결	Execution of an Agreement to Implement a Business Normalization Plan
계열사와의거래내역	Details of Transactions with Affiliates
계열사주식보유변동	Change in Shareholdings of Affiliates
고정자산처분결정	Decision to Dispose of Fixed Assets
고정자산취득결정	Decision to Acquire Fixed Assets
공개매수결과	Tender Offer Results
공개매수결과보고서	Tender Offer Results Report
공개매수결의또는피공개매수	Resolution on a Tender Offer or Being Subject to a Tender Offer
공개매수설명서	Tender Offer Prospectus
공개매수신고서	Tender Offer Statement
공개매수에관한의견표명서	Statement of Opinion on a Tender Offer
공급계약해지	Termination of a Supply Contract
관계회사회사정리절차개시결정	Decision to Commence Corporate Reorganization Proceedings for an Affiliated Company
관계회사회사정리절차개시신청	Application to Commence Corporate Reorganization Proceedings for an Affiliated Company
관리종목지정	Designation as an Administrative Issue
관리종목지정사유일부해제	Partial Removal of Grounds for Administrative Issue Designation
관리종목지정사유추가	Addition of Grounds for Administrative Issue Designation
관리종목지정사유추가및일부해제	Addition and Partial Removal of Grounds for Administrative Issue Designation
관리종목해제	Removal from Administrative Issue Designation
교환가액의조정	Adjustment of Exchange Price
교환사채(해외교환사채포함)발행후만기전사채취득	Acquisition Before Maturity of Exchangeable Bonds After Issuance, Including Overseas Exchangeable Bonds
교환사채발행결정	Decision to Issue Exchangeable Bonds
교환청구권행사	Exercise of Exchange Rights
국내정기공시내용과해외정기공시내용의주요차이점	Material Differences Between Domestic and Overseas Periodic Disclosures
권리락	Ex-Rights
권리락 (무상증자)	Ex-Rights (Bonus Issue)
권리락(무상증자)	Ex-Rights (Bonus Issue)
권리락(유상증자)	Ex-Rights (Capital Increase with Consideration)
금전대여결정((DMHI의 대여금 대여기간 연장)	Decision to Lend Funds (Extension of the Loan Period for DMHI)
금전대여결정(SBM Shipyard Ltd.)	Decision to Lend Funds (SBM Shipyard Ltd.)
금전대여결정(SBM Shipyard Ltd.의 주주 대여금 상환 연장)	Decision to Lend Funds (Extension of Repayment of Shareholder Loan to SBM Shipyard Ltd.)
금전대여결정(자회사의 주요경영사항)(기재정정)	Decision to Lend Funds (Material Management Matter of a Subsidiary) (Amended)
기술도입ㆍ이전ㆍ제휴계약체결	Execution of a Technology Introduction, Transfer, or Partnership Agreement
기술도입ㆍ이전계약체결	Execution of a Technology Introduction or Transfer Agreement
기술도입계약체결	Execution of a Technology Introduction Agreement
기술이전계약체결	Execution of a Technology Transfer Agreement
기술제휴계약체결	Execution of a Technology Partnership Agreement
기업가치제고계획예고	Advance Notice of a Corporate Value Enhancement Plan
기업지배구조보고서공시(연차보고서)	Corporate Governance Report Disclosure (Annual Report)
기타-예적금	Other — Deposits and Savings
기타경영사항	Other Management Matters
기업가치제고계획(자율공시) ((2025년 이행현황))	Corporate Value Enhancement Plan (Voluntary Disclosure) (2025 Implementation Status)
기업가치제고계획(자율공시) ((2025년))	Corporate Value Enhancement Plan (Voluntary Disclosure) (2025)
기업가치제고계획(자율공시) ((이행현황))	Corporate Value Enhancement Plan (Voluntary Disclosure) (Implementation Status)
기업가치제고계획(자율공시) (2024년 2분기 ㈜메리츠금융지주 기업가치 제고 계획 이행현황)	Corporate Value Enhancement Plan (Voluntary Disclosure) (Meritz Financial Group 2024 Q2 Implementation Status)
기업가치제고계획(자율공시) (2024년 2차)	Corporate Value Enhancement Plan (Voluntary Disclosure) (Second Disclosure of 2024)
기업가치제고계획(자율공시) (2024년 3분기 이행현황)	Corporate Value Enhancement Plan (Voluntary Disclosure) (2024 Q3 Implementation Status)
기업가치제고계획(자율공시) (2024년 이행현황)	Corporate Value Enhancement Plan (Voluntary Disclosure) (2024 Implementation Status)
기업가치제고계획(자율공시) (2025 한국투자금융지주(주) 기업가치 제고 계획)	Corporate Value Enhancement Plan (Voluntary Disclosure) (2025 Korea Investment Holdings Plan)
기업가치제고계획(자율공시) (2025년 2분기 이행현황)	Corporate Value Enhancement Plan (Voluntary Disclosure) (2025 Q2 Implementation Status)
기업가치제고계획(자율공시) (2025년 계획 및 1분기 이행현황)	Corporate Value Enhancement Plan (Voluntary Disclosure) (2025 Plan and Q1 Implementation Status)
기업가치제고계획(자율공시) (2025년 이행현황)	Corporate Value Enhancement Plan (Voluntary Disclosure) (2025 Implementation Status)
기업가치제고계획(자율공시) (2025년 재공시)	Corporate Value Enhancement Plan (Voluntary Disclosure) (2025 Revised Disclosure)
기업가치제고계획(자율공시) (2025년)	Corporate Value Enhancement Plan (Voluntary Disclosure) (2025)
기업가치제고계획(자율공시) (2026년 1분기 이행현황)	Corporate Value Enhancement Plan (Voluntary Disclosure) (2026 Q1 Implementation Status)
기업가치제고계획(자율공시) (2026년 2분기 이행현황)	Corporate Value Enhancement Plan (Voluntary Disclosure) (2026 Q2 Implementation Status)
기업가치제고계획(자율공시) (2026년)	Corporate Value Enhancement Plan (Voluntary Disclosure) (2026)
기업가치제고계획(자율공시) (고배당기업 표시를 위한 재공시)	Corporate Value Enhancement Plan (Voluntary Disclosure) (Revised Disclosure for High-Dividend Company Designation)
기업가치제고계획(자율공시) (이행현황)	Corporate Value Enhancement Plan (Voluntary Disclosure) (Implementation Status)
기업가치제고계획(자율공시) (중기 주주환원 정책)	Corporate Value Enhancement Plan (Voluntary Disclosure) (Medium-Term Shareholder Return Policy)
기타경영사항(자율공시) ((배당기준일 변경 안내))	Other Management Matters (Voluntary Disclosure) (Notice of Change in Dividend Record Date)
기타경영사항(자율공시) (2025년 연간 경영실적 발표 일정)	Other Management Matters (Voluntary Disclosure) (2025 Annual Financial Results Announcement Schedule)
기타경영사항(자율공시) (2026년 연간 경영실적 발표 일정)	Other Management Matters (Voluntary Disclosure) (2026 Annual Financial Results Announcement Schedule)
기타경영사항(자율공시) (ESG위원회 결과 보고)	Other Management Matters (Voluntary Disclosure) (ESG Committee Results Report)
기타경영사항(자율공시) (HLB 간암 1차 치료제(리보세라닙,캄렐리주맙 병용요법) FDA에 재승인 서류 제출)	Other Management Matters (Voluntary Disclosure) (HLB Resubmits FDA Approval Application for First-Line Liver Cancer Therapy Using Rivoceranib and Camrelizumab)
기타경영사항(자율공시) (HLB 간암 1차 치료제(리보세라닙,캄렐리주맙 병용요법)FDA로부터 보완요구서한(CRL,Complete Response Letter)수령)	Other Management Matters (Voluntary Disclosure) (HLB Receives FDA Complete Response Letter for First-Line Liver Cancer Therapy Using Rivoceranib and Camrelizumab)
기타경영사항(자율공시) (결산배당 기준일 안내)	Other Management Matters (Voluntary Disclosure) (Year-End Dividend Record Date Notice)
기타경영사항(자율공시) (기업지배구조 개선을 위한 이사회 內 위원회 신설)	Other Management Matters (Voluntary Disclosure) (Establishment of a Board Committee to Improve Corporate Governance)
기타경영사항(자율공시) (기업지배구조헌장 개정의 건)	Other Management Matters (Voluntary Disclosure) (Amendment of the Corporate Governance Charter)
기타경영사항(자율공시) (배당기준일 관련 안내)	Other Management Matters (Voluntary Disclosure) (Dividend Record Date Notice)
기타경영사항(자율공시) (배당기준일 변경 안내)	Other Management Matters (Voluntary Disclosure) (Notice of Change in Dividend Record Date)
기타경영사항(자율공시) (배당기준일 안내)	Other Management Matters (Voluntary Disclosure) (Dividend Record Date Notice)
기타경영사항(자율공시) (분기 배당기준일 안내)	Other Management Matters (Voluntary Disclosure) (Quarterly Dividend Record Date Notice)
기타경영사항(자율공시) (분기배당기준일 변경 안내)	Other Management Matters (Voluntary Disclosure) (Notice of Change in Quarterly Dividend Record Date)
기타경영사항(자율공시) (분기배당기준일 안내)	Other Management Matters (Voluntary Disclosure) (Quarterly Dividend Record Date Notice)
기타경영사항(자율공시) (정관변경에 따른 배당기준일 안내)	Other Management Matters (Voluntary Disclosure) (Dividend Record Date Notice Following Amendment of the Articles of Incorporation)
기타경영사항(자율공시) (중간배당 배당기준일 변경 안내)	Other Management Matters (Voluntary Disclosure) (Notice of Change in Interim Dividend Record Date)
기타경영사항(자율공시) (회사합병결정 철회에 관한 사항)	Other Management Matters (Voluntary Disclosure) (Withdrawal of the Company Merger Decision)
기타경영사항(자율공시)('23년 제2차 ESG위원회 개최 결과)	Other Management Matters (Voluntary Disclosure) (Results of the Second ESG Committee Meeting in 2023)
기타경영사항(자율공시)((단일판매·공급계약 체결 건의 진행사항 공시))	Other Management Matters (Voluntary Disclosure) (Update on a Single Sales or Supply Contract)
기타경영사항(자율공시)(2011 사업연도 1분기보고서 제출 일정)	Other Management Matters (Voluntary Disclosure) (Schedule for Filing the 2011 First-Quarter Report)
기타경영사항(자율공시)(ALT-P1(재조합 지속형인간성장호르몬) 1/2상 임상시험 계획 승인)	Other Management Matters (Voluntary Disclosure) (Approval of the Phase 1/2 Clinical Trial Plan for ALT-P1, a Recombinant Long-Acting Human Growth Hormone)
기타경영사항(자율공시)(ESG위원회 개최 결과)	Other Management Matters (Voluntary Disclosure) (ESG Committee Meeting Results)
기타경영사항(자율공시)(ESG위원회 결과 보고)	Other Management Matters (Voluntary Disclosure) (ESG Committee Results Report)
기타경영사항(자율공시)(Fadhili Combined Heat and Power Project 사전착수지시서 접수)	Other Management Matters (Voluntary Disclosure) (Receipt of a Limited Notice to Proceed for the Fadhili Combined Heat and Power Project)
기타경영사항(자율공시)(NHN게임스㈜의 전환사채 인수 결정)	Other Management Matters (Voluntary Disclosure) (Decision to Acquire Convertible Bonds Issued by NHN Games)
기타경영사항(자율공시)(STX프랑스 지분 인수 추진 보도관련 재공시)	Other Management Matters (Voluntary Disclosure) (Follow-Up Disclosure Regarding Reports of a Proposed Acquisition of an Equity Interest in STX France)
기타경영사항(자율공시)(STX프랑스(크루즈 전문 조선소) 지분 인수 추진 보도관련 공시)	Other Management Matters (Voluntary Disclosure) (Disclosure Regarding Reports of a Proposed Acquisition of an Equity Interest in STX France, a Cruise Shipyard)
기타경영사항(자율공시)(감사보고서 제출 지연)	Other Management Matters (Voluntary Disclosure) (Delay in Submission of the Audit Report)
기타경영사항(자율공시)(감사보고서 제출 지연에 대한 추가안내)	Other Management Matters (Voluntary Disclosure) (Additional Notice Regarding Delay in Submission of the Audit Report)
기타경영사항(자율공시)(경영정상화 계획 및 경쟁력 제고방안 이행 약정서 체결)	Other Management Matters (Voluntary Disclosure) (Execution of an Agreement to Implement a Business Normalization and Competitiveness Enhancement Plan)
기타경영사항(자율공시)(경영정상화를 위한 개선계획)	Other Management Matters (Voluntary Disclosure) (Improvement Plan for Business Normalization)
기타경영사항(자율공시)(경쟁력 제고방안 이행 약정서 체결)	Other Management Matters (Voluntary Disclosure) (Execution of an Agreement to Implement a Competitiveness Enhancement Plan)
기타경영사항(자율공시)(고성 하이화력발전소 1,2호기 기자재 사전착수지시서 접수)	Other Management Matters (Voluntary Disclosure) (Receipt of a Limited Notice to Proceed for Equipment for Units 1 and 2 of the Goseong Hai Thermal Power Plant)
기타경영사항(자율공시)(고성 하이화력발전소 1,2호기 기자재 착수지시서 접수)	Other Management Matters (Voluntary Disclosure) (Receipt of a Notice to Proceed for Equipment for Units 1 and 2 of the Goseong Hai Thermal Power Plant)
기타경영사항(자율공시)(관급공사 입찰참가 자격제한 관련)	Other Management Matters (Voluntary Disclosure) (Restriction on Eligibility to Bid for Public-Sector Construction Projects)
기타경영사항(자율공시)(관급공사 입찰참가자격제한 관련)	Other Management Matters (Voluntary Disclosure) (Restriction on Eligibility to Bid for Public-Sector Construction Projects)
기타경영사항(자율공시)(구명정 등 납품계약 진행사항)	Other Management Matters (Voluntary Disclosure) (Progress of Supply Contract for Lifeboats and Related Equipment)
기타경영사항(자율공시)(근접방어무기체계(CIWS)-II 체계개발사업 우선협상대상업체 선정)	Other Management Matters (Voluntary Disclosure) (Selection as Preferred Bidder for the Close-In Weapon System II Development Project)
기타경영사항(자율공시)(기업지배구조 개선을 위한 이사회 內 위원회 신설)	Other Management Matters (Voluntary Disclosure) (Establishment of a Board Committee to Improve Corporate Governance)
기타경영사항(자율공시)(기업지배구조헌장 제정)	Other Management Matters (Voluntary Disclosure) (Adoption of a Corporate Governance Charter)
기타경영사항(자율공시)(기업지배구조헌장 제정의 건)	Other Management Matters (Voluntary Disclosure) (Adoption of a Corporate Governance Charter)
기타경영사항(자율공시)(기타주요경영사항(자율공시) (단일판매·공급계약 체결 건의 진행사항 공시) )	Other Management Matters (Voluntary Disclosure) (Update on a Single Sales or Supply Contract)
기타경영사항(자율공시)(남아공 Thabametsi 석탄화력발전소 건설공사 가계약 체결)	Other Management Matters (Voluntary Disclosure) (Execution of a Preliminary Contract for Construction of the Thabametsi Coal-Fired Power Plant in South Africa)
기타경영사항(자율공시)(단일판매 공급계약 진행 사항 공시)	Other Management Matters (Voluntary Disclosure) (Update on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매 공급계약 진행사항 공시)	Other Management Matters (Voluntary Disclosure) (Update on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매 공급계약 진행사항)	Other Management Matters (Voluntary Disclosure) (Update on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매 공급계약 체결 진행사항 안내)	Other Management Matters (Voluntary Disclosure) (Notice of Progress on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매 공급계약 체결 진행사항)	Other Management Matters (Voluntary Disclosure) (Progress on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매 공급계약에 대한 진행사항)	Other Management Matters (Voluntary Disclosure) (Progress on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매, 공급계약 진행사항)	Other Management Matters (Voluntary Disclosure) (Progress on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매.공급계약 진행사항 공시)	Other Management Matters (Voluntary Disclosure) (Update on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매.공급계약 진행사항)	Other Management Matters (Voluntary Disclosure) (Progress on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매.공급계약 진행상황)	Other Management Matters (Voluntary Disclosure) (Progress on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매·공급계약 체결 건의 진행사항 공시)	Other Management Matters (Voluntary Disclosure) (Update on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매·공급계약 체결(자율공시) 건의 진행사항 공시) )	Other Management Matters (Voluntary Disclosure) (Update on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매·공급계약 체결[자율공시] 건의 진행사항 공시 )	Other Management Matters (Voluntary Disclosure) (Update on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매·공급계약 체결[자율공시] 건의 진행사항 공시)	Other Management Matters (Voluntary Disclosure) (Update on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매·공급계약의 진행사항 공시)	Other Management Matters (Voluntary Disclosure) (Update on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매ㆍ공급계약 진행사항 공시)	Other Management Matters (Voluntary Disclosure) (Update on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매ㆍ공급계약 진행사항)	Other Management Matters (Voluntary Disclosure) (Progress on a Single Sales or Supply Contract)
기타경영사항(자율공시)(단일판매ㆍ공급계약 체결 건의 진행사항 공시 )	Other Management Matters (Voluntary Disclosure) (Update on a Single Sales or Supply Contract)
